id,Name,Geschlecht,Geburtsjahr/Gründungsjahr,Type,Nationality,Title,Umsatz 2023 [€]
187,ALBIS Leasing Gruppe,,,1,D,,
188,innogy SE,,,1,D,,
189,innotec Tss AG,,,1,D,,
190,AdAR - Arbeitskreis deutscher Aufsichtsrat e.V. ,,,8,D,,
191,freenet AG,,,1,D,,
192,Deutsche Schutzvereinigung für Wertpapierbesitz e.V.,,,1,D,,
193,Klaus-Günter Vennemann,1,1954,6,D,,
194,Technikerschule Duisburg,,,4,D,,
195,GETRAG GmbH & Cie,,,1,D,,
196,Schaeffler Group,,,1,D,,
197,Siteco Lightning GmbH,,,1,D,,
198,OSRAM,,,1,D,,
199,KSPG AG,,,2,D,,
200,KAMAX Holding GmbH & Co. KG,,1935,1,D,,
201,Nanogate SE,,,1,SUI,,
202,MAB Autotech LTD,,,1,D,,
203,Dirk Zimper,1,NA,1,D,Dr.,
204,MBDA Deutschland,,2001,2,D,,
205,Bayern - Chemie (LFK Germany/MBDA Group) ,,1957,2,D,,
206,NATO Science & Technology Organization,,1949,4,US,,
207,Deutsches Zentrum für Luft - und Raumfahrt (DLR),,1969,4,D,,
208,Ulrich Nuding,1,1977,1,D,Dr. ,
209,MBDA Deutschland,,2001,2,D,,
210,IABG,,1961,1,D,,
211,"BCCN Munich, Ludwig - Maximilian Universität ",,1472,3,D,Doktorand,
212,"Institut für Medizinische Psychologie, LMU München ",,1472,3,D,Doktorand,
213,Falk Müller,1,NA,1,D,,
214,MBDA Deutschland,1,2001,2,D,,
215,LFK - Lenkflugkörpersysteme GmbH,,1995,2,D,,
216,FEE Industrieautomation GmbH ,,1982,1,D,,
217,Guido Brendler,1,1967,1,D,,
218,MBDA Deutschland,,2001,2,D,,
219,NetJets Europe,,1964,1,US,,
220,Spanische Luftwaffe ,,NA,1,ES,,
221,Bundeswehr ,,NA,1,D,,
222,Marc Zizmann,1,1969,1,D,,
223,MBDA Deutschland,,2001,2,D,,
224,LFK - Lenkflugkörpersysteme GmbH,,1995,2,D,,
225,Rechtsanwaltskanzlei Zizmann,,NA,1,D,,
226,Thomas Gottschild,1,1969,1,D,,
227,MBDA Deutschland,,2001,2,D,,
228,Airbus Defence and Space,,2014,2,D,,
229,Thonas Malenke ,1,1970,1,D,,
230,MBDA Deutschland,,2001,2,D,,
